orignal code,DSP,LUT,CP,FF,SLICE
cdfg_1/cdfg_55,24,2.525,8.586,2.599,4.495
cdfg_1/cdfg_56,2,0.712,8.217,1.108,1.48
cdfg_1/cdfg_57,9,6.936,9.301,9.704,12.735
cdfg_1/cdfg_58,23,2.805,8.893,3.461,5.735
cdfg_1/cdfg_59,43,9.837,8.486,12.821,17.47
cdfg_1/cdfg_60,28,11.156,9.575,13.727,18.865
cdfg_1/cdfg_62,5,4.678,8.112,7.57,8.6
cdfg_1/cdfg_63,0,0.012,0.0,0.0,0.025
cdfg_1/cdfg_64,19,1.707,8.879,1.721,3.15
cdfg_1/cdfg_65,11,0.524,7.648,0.997,1.355
cdfg_1/cdfg_66,16,13.377,8.827,16.291,21.725
cdfg_1/cdfg_67,0,5.763,7.354,4.913,9.815
cdfg_1/cdfg_68,11,0.981,7.844,1.194,2.115
cdfg_1/cdfg_69,16,0.715,8.902,0.754,1.305
cdfg_1/cdfg_71,0,0.199,5.845,0.194,0.465
cdfg_1/cdfg_72,44,8.94,8.746,11.776,15.385
cdfg_1/cdfg_73,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_74,20,3.438,9.482,3.791,6.395
cdfg_1/cdfg_75,34,6.248,8.882,6.828,11.445
cdfg_1/cdfg_76,14,3.483,9.332,3.794,6.415
cdfg_1/cdfg_77,23,7.691,9.018,10.408,13.38
cdfg_1/cdfg_78,0,0.042,4.376,0.092,0.125
cdfg_1/cdfg_79,23,6.749,8.621,10.922,13.69
cdfg_1/cdfg_80,21,1.082,7.982,1.252,2.22
cdfg_1/cdfg_81,0,0.053,0.0,0.0,0.09
cdfg_1/cdfg_82,7,5.102,8.572,8.222,9.905
cdfg_1/cdfg_83,14,1.983,8.476,2.592,4.21
cdfg_1/cdfg_84,2,3.345,8.602,3.352,5.64
cdfg_1/cdfg_85,16,6.373,8.589,9.269,11.89
cdfg_1/cdfg_87,2,0.077,5.692,0.101,0.16
cdfg_1/cdfg_88,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_89,2,0.197,5.008,0.54,0.74
cdfg_1/cdfg_90,0,0.621,9.825,0.483,1.115
cdfg_1/cdfg_91,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_92,23,2.134,8.984,2.604,4.515
cdfg_1/cdfg_93,11,6.22,8.416,9.108,11.335
cdfg_1/cdfg_94,8,1.748,7.66,2.357,3.445
cdfg_1/cdfg_95,14,1.727,8.352,2.785,4.805
cdfg_1/cdfg_97,0,0.343,5.036,0.426,0.615
cdfg_1/cdfg_98,0,6.509,8.18,6.769,11.455
cdfg_1/cdfg_99,4,1.404,7.416,2.234,3.1
cdfg_1/cdfg_100,33,2.801,8.919,3.027,5.075
cdfg_1/cdfg_101,4,0.149,5.859,0.213,0.295
cdfg_1/cdfg_102,3,1.061,8.044,1.147,1.99
cdfg_1/cdfg_103,35,15.181,8.552,17.055,24.81
cdfg_1/cdfg_104,21,7.32,9.007,10.102,14.195
cdfg_1/cdfg_105,10,0.507,7.79,1.207,1.37
cdfg_1/cdfg_106,3,4.646,8.467,7.401,8.065
cdfg_1/cdfg_107,3,4.297,7.77,7.355,8.19
cdfg_1/cdfg_108,0,5.346,9.236,6.97,8.97
cdfg_1/cdfg_109,20,3.91,8.561,3.533,7.045
cdfg_1/cdfg_111,9,2.356,8.835,2.898,4.875
cdfg_1/cdfg_112,2,0.642,7.251,0.984,1.435
cdfg_1/cdfg_113,4,0.299,8.55,0.898,1.165
cdfg_1/cdfg_114,18,1.131,7.578,1.444,2.385
cdfg_1/cdfg_115,3,0.478,6.353,0.843,1.28
cdfg_1/cdfg_116,14,4.002,8.517,3.384,7.465
cdfg_1/cdfg_117,6,1.577,8.221,1.65,3.14
cdfg_1/cdfg_118,7,1.526,11.39,1.741,2.895
cdfg_1/cdfg_119,8,0.963,7.159,1.321,2.175
cdfg_1/cdfg_120,21,3.383,9.967,3.202,5.72
cdfg_1/cdfg_122,11,5.606,9.042,8.388,9.88
cdfg_1/cdfg_123,22,1.946,9.685,1.901,3.64
cdfg_1/cdfg_124,6,5.277,8.773,8.182,9.28
cdfg_1/cdfg_125,5,1.195,8.467,1.383,2.245
cdfg_1/cdfg_126,0,0.22,5.503,0.299,0.45
cdfg_1/cdfg_127,17,0.609,8.646,0.623,1.31
cdfg_1/cdfg_128,7,1.058,8.381,1.252,2.035
cdfg_1/cdfg_129,6,1.6,8.129,1.906,3.135
cdfg_1/cdfg_131,3,12.12,8.603,15.164,19.765
cdfg_1/cdfg_132,0,0.091,5.048,0.18,0.27
cdfg_1/cdfg_133,13,15.636,9.756,19.37,25.19
cdfg_1/cdfg_134,11,0.746,6.99,0.967,1.585
cdfg_1/cdfg_135,2,13.004,8.265,13.4,21.165
cdfg_1/cdfg_136,27,3.15,8.558,3.34,5.74
cdfg_1/cdfg_137,1,0.112,6.244,0.306,0.415
cdfg_1/cdfg_138,0,0.377,7.834,0.778,1.115
cdfg_1/cdfg_139,41,7.654,9.415,10.863,14.0
cdfg_1/cdfg_141,5,8.075,8.869,8.612,12.91
cdfg_1/cdfg_142,7,1.643,7.881,1.75,3.23
cdfg_1/cdfg_143,16,1.746,8.801,2.38,3.665
cdfg_1/cdfg_144,0,0.763,7.127,1.117,1.91
cdfg_1/cdfg_146,9,5.07,8.774,7.314,8.815
cdfg_1/cdfg_147,2,0.637,7.978,1.074,1.39
cdfg_1/cdfg_148,5,4.305,7.819,6.197,7.035
cdfg_1/cdfg_149,0,0.016,3.26,0.055,0.06
cdfg_1/cdfg_150,5,1.644,8.541,1.799,3.5
cdfg_1/cdfg_151,0,0.029,6.119,0.015,0.055
cdfg_1/cdfg_152,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_153,6,9.127,9.197,10.302,15.96
cdfg_1/cdfg_154,0,0.002,0.0,0.0,0.005
cdfg_1/cdfg_155,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_156,4,0.758,8.029,1.214,1.605
cdfg_1/cdfg_157,4,1.085,8.486,1.395,2.315
cdfg_1/cdfg_158,0,0.055,4.889,0.044,0.09
cdfg_1/cdfg_159,58,5.508,11.61,5.574,10.695
cdfg_1/cdfg_160,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_161,2,0.343,7.475,0.573,0.82
cdfg_1/cdfg_162,11,2.565,8.224,2.524,4.365
cdfg_1/cdfg_163,7,1.581,8.417,2.702,3.785
cdfg_1/cdfg_164,18,7.326,9.012,7.026,12.525
cdfg_1/cdfg_165,5,0.983,8.29,1.22,1.89
cdfg_1/cdfg_166,13,0.908,9.363,1.082,1.945
cdfg_1/cdfg_167,6,0.488,7.031,1.058,1.51
cdfg_1/cdfg_168,0,0.081,1.541,0.01,0.135
cdfg_1/cdfg_169,0,0.006,0.0,0.0,0.01
cdfg_1/cdfg_170,31,3.498,9.748,4.022,7.155
cdfg_1/cdfg_171,8,0.922,8.412,1.179,1.885
cdfg_1/cdfg_172,3,0.854,6.919,1.33,2.015
cdfg_1/cdfg_173,25,2.411,8.756,3.096,5.5
cdfg_1/cdfg_174,32,7.52,9.248,10.808,13.585
cdfg_1/cdfg_175,19,9.591,9.518,11.705,16.1
cdfg_1/cdfg_176,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_177,0,0.075,3.641,0.087,0.155
cdfg_1/cdfg_178,1,0.33,5.726,0.691,0.84
cdfg_1/cdfg_179,5,16.043,9.433,15.898,25.225
cdfg_1/cdfg_180,0,1.07,8.64,1.598,2.195
cdfg_1/cdfg_181,7,4.522,7.979,7.536,8.515
cdfg_1/cdfg_182,12,4.189,9.214,4.91,7.69
cdfg_1/cdfg_183,10,0.476,6.778,0.217,0.73
cdfg_1/cdfg_184,2,0.104,6.295,0.053,0.165
cdfg_1/cdfg_185,8,5.536,8.498,8.688,9.705
cdfg_1/cdfg_186,0,0.276,6.797,0.279,0.54
cdfg_1/cdfg_188,11,0.371,7.607,0.659,1.075
cdfg_1/cdfg_189,24,18.984,9.599,23.513,29.57
cdfg_1/cdfg_190,1,0.067,4.249,0.142,0.18
cdfg_1/cdfg_192,16,6.425,8.837,9.453,12.1
cdfg_1/cdfg_193,18,1.403,8.606,1.427,2.545
cdfg_1/cdfg_194,14,5.405,7.745,6.324,8.75
cdfg_1/cdfg_195,33,2.334,9.417,2.778,4.73
cdfg_1/cdfg_196,12,16.103,8.577,18.77,25.44
cdfg_1/cdfg_197,11,6.411,8.609,9.71,11.655
cdfg_1/cdfg_198,43,4.401,9.198,5.304,8.25
cdfg_1/cdfg_199,11,14.571,8.376,16.474,23.51
cdfg_2/cdfg_0,3,13.47,8.569,16.423,22.91
cdfg_2/cdfg_1,9,6.208,8.51,10.975,12.695
cdfg_2/cdfg_2,15,2.539,8.54,5.346,7.245
cdfg_2/cdfg_3,3,1.218,7.731,1.288,2.125
cdfg_2/cdfg_4,0,0.007,1.563,0.004,0.01
cdfg_2/cdfg_5,23,5.759,8.823,7.063,10.8
cdfg_2/cdfg_6,5,0.369,6.919,0.753,1.055
cdfg_2/cdfg_7,18,1.567,8.551,1.821,3.11
cdfg_2/cdfg_8,3,10.343,8.591,12.585,17.61
cdfg_2/cdfg_9,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_10,0,0.009,1.614,0.002,0.02
cdfg_2/cdfg_11,30,12.15,9.267,12.798,20.005
cdfg_2/cdfg_12,4,0.634,8.279,0.783,1.345
cdfg_2/cdfg_13,3,0.767,9.923,0.757,1.49
cdfg_2/cdfg_14,18,3.439,8.429,3.997,6.505
cdfg_2/cdfg_15,0,0.414,7.26,0.471,0.715
cdfg_2/cdfg_16,8,1.561,8.387,1.354,2.62
cdfg_2/cdfg_17,17,7.045,8.735,11.34,13.195
cdfg_2/cdfg_18,13,11.811,7.981,12.734,18.98
cdfg_2/cdfg_19,20,12.459,9.096,17.607,21.465
cdfg_2/cdfg_20,10,2.576,8.812,2.698,4.54
cdfg_2/cdfg_21,3,0.149,4.98,0.3,0.39
cdfg_2/cdfg_22,10,2.243,7.977,4.069,6.0
cdfg_2/cdfg_23,23,3.996,8.865,4.118,6.985
cdfg_2/cdfg_24,20,2.847,9.368,3.315,5.585
cdfg_2/cdfg_25,0,0.002,0.0,0.0,0.005
cdfg_2/cdfg_27,19,2.387,15.138,2.706,5.165
cdfg_2/cdfg_28,8,1.854,8.117,2.515,4.06
cdfg_2/cdfg_29,4,2.401,8.759,2.854,4.29
cdfg_2/cdfg_30,7,5.111,8.413,8.103,8.885
cdfg_2/cdfg_31,4,0.458,8.376,0.803,1.065
cdfg_2/cdfg_33,0,0.005,0.0,0.0,0.01
cdfg_2/cdfg_35,0,0.294,4.549,0.141,0.445
cdfg_2/cdfg_36,16,5.395,8.937,8.267,10.24
cdfg_2/cdfg_37,3,2.8,8.372,3.572,5.565
cdfg_2/cdfg_38,0,0.011,1.604,0.002,0.02
cdfg_2/cdfg_39,18,12.825,9.704,16.423,20.85
cdfg_2/cdfg_40,21,4.165,8.324,6.275,7.585
cdfg_2/cdfg_41,1,0.88,8.465,1.329,1.875
cdfg_2/cdfg_42,24,4.929,7.64,4.955,9.845
cdfg_2/cdfg_44,1,4.882,7.555,4.607,8.17
cdfg_2/cdfg_45,8,7.528,8.598,10.061,12.815
cdfg_2/cdfg_46,4,0.135,6.997,0.399,0.49
cdfg_2/cdfg_47,1,0.032,2.154,0.004,0.055
cdfg_2/cdfg_48,11,4.717,8.213,4.901,7.815
cdfg_2/cdfg_49,19,6.574,8.361,9.835,12.005
cdfg_2/cdfg_50,2,0.405,7.768,0.424,0.77
cdfg_2/cdfg_51,16,4.234,8.092,6.378,7.185
cdfg_2/cdfg_52,20,0.393,8.592,0.458,0.865
cdfg_2/cdfg_53,19,5.411,8.37,8.898,10.26
cdfg_2/cdfg_54,1,1.084,5.116,1.387,2.235
cdfg_2/cdfg_55,20,6.08,8.946,8.43,10.74
cdfg_2/cdfg_56,6,1.833,8.295,1.693,2.89
cdfg_2/cdfg_57,4,15.077,7.814,19.26,26.17
cdfg_2/cdfg_58,6,12.731,7.517,12.867,19.72
cdfg_2/cdfg_59,10,3.267,8.806,3.379,6.105
cdfg_2/cdfg_60,12,2.166,8.851,1.932,3.96
cdfg_2/cdfg_61,41,4.157,9.46,5.355,9.045
cdfg_2/cdfg_62,32,7.416,9.316,10.161,12.84
cdfg_2/cdfg_63,10,6.358,8.149,9.699,11.22
cdfg_2/cdfg_64,18,2.847,8.784,3.828,6.055
cdfg_2/cdfg_65,3,7.258,9.03,10.053,13.46
cdfg_2/cdfg_66,2,0.611,7.322,0.996,1.345
cdfg_2/cdfg_67,6,2.555,8.998,2.049,4.56
cdfg_2/cdfg_68,19,5.806,9.371,7.439,9.61
cdfg_2/cdfg_69,2,0.006,3.584,0.007,0.025
cdfg_2/cdfg_71,26,2.596,9.047,3.424,5.295
cdfg_2/cdfg_72,3,1.414,8.411,1.55,2.485
cdfg_2/cdfg_73,16,12.317,8.858,17.504,21.85
cdfg_2/cdfg_74,15,1.691,9.487,2.061,3.445
cdfg_2/cdfg_75,20,8.205,9.348,9.15,13.97
cdfg_2/cdfg_76,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_78,53,4.505,8.982,5.514,8.705
cdfg_2/cdfg_79,8,6.032,8.888,8.624,10.455
cdfg_2/cdfg_80,9,2.671,8.207,3.095,5.18
cdfg_2/cdfg_81,5,5.304,8.225,5.16,8.48
cdfg_2/cdfg_82,23,3.451,8.643,3.977,6.98
cdfg_2/cdfg_83,5,0.684,8.406,0.924,1.495
cdfg_2/cdfg_84,12,0.743,8.309,1.026,1.495
cdfg_2/cdfg_86,0,2.365,9.347,2.664,4.45
cdfg_2/cdfg_87,0,0.547,6.23,0.884,1.325
cdfg_2/cdfg_88,20,9.46,7.981,13.046,17.22
cdfg_2/cdfg_89,51,5.579,8.7,10.067,11.83
cdfg_2/cdfg_90,5,2.982,8.677,2.981,5.09
cdfg_2/cdfg_91,5,1.842,8.715,2.223,3.765
cdfg_2/cdfg_92,9,4.438,8.595,4.686,7.71
cdfg_2/cdfg_93,22,3.379,8.827,4.97,7.52
cdfg_2/cdfg_94,8,5.294,9.918,8.117,9.335
cdfg_2/cdfg_95,5,1.535,7.238,2.126,3.02
cdfg_2/cdfg_96,40,5.906,8.875,7.955,10.13
cdfg_2/cdfg_97,55,9.382,9.219,12.827,16.7
cdfg_2/cdfg_99,18,2.769,8.796,3.117,5.835
cdfg_2/cdfg_101,0,0.129,6.914,0.348,0.465
cdfg_2/cdfg_102,21,5.305,8.293,8.932,10.74
cdfg_2/cdfg_103,5,1.058,8.295,1.009,1.86
cdfg_2/cdfg_104,11,9.478,8.9,12.775,16.75
cdfg_2/cdfg_105,11,6.41,8.572,10.477,12.08
cdfg_2/cdfg_106,3,4.374,8.45,5.232,7.335
cdfg_2/cdfg_107,18,6.326,9.539,9.187,11.275
cdfg_2/cdfg_109,19,7.487,8.855,10.481,13.565
cdfg_2/cdfg_110,15,4.648,9.674,7.413,8.24
cdfg_2/cdfg_111,1,1.572,6.149,1.559,2.88
cdfg_2/cdfg_113,5,2.052,7.107,3.159,4.805
cdfg_2/cdfg_114,34,1.272,8.966,0.952,2.32
cdfg_2/cdfg_115,23,6.019,8.801,7.34,10.3
cdfg_2/cdfg_116,55,10.274,8.994,12.905,18.375
cdfg_2/cdfg_117,23,0.61,8.943,0.728,1.405
cdfg_2/cdfg_118,7,0.859,6.741,1.96,2.515
cdfg_2/cdfg_119,33,2.973,9.159,2.954,5.655
cdfg_2/cdfg_120,3,3.97,8.437,4.19,5.965
cdfg_2/cdfg_121,3,0.502,6.634,0.969,1.4
cdfg_2/cdfg_122,0,0.296,4.802,0.399,0.685
cdfg_2/cdfg_123,7,8.07,8.444,7.307,12.815
cdfg_2/cdfg_124,8,6.561,7.944,7.914,12.145
cdfg_2/cdfg_125,5,13.037,8.335,16.457,21.015
cdfg_2/cdfg_127,1,0.223,6.962,0.429,0.525
cdfg_2/cdfg_129,16,0.43,8.236,0.301,0.71
cdfg_2/cdfg_132,3,4.375,7.777,7.346,7.85
cdfg_2/cdfg_133,23,7.098,8.825,8.465,11.94
cdfg_2/cdfg_134,7,8.654,8.493,11.542,15.65
cdfg_2/cdfg_135,5,1.419,8.328,1.805,2.655
cdfg_2/cdfg_136,20,1.66,8.252,1.511,2.83
cdfg_2/cdfg_137,0,0.025,3.445,0.032,0.06
cdfg_2/cdfg_138,22,5.753,8.545,7.531,10.25
cdfg_2/cdfg_139,5,1.141,7.83,1.392,2.265
cdfg_2/cdfg_140,4,0.217,7.647,0.365,0.66
cdfg_2/cdfg_141,28,4.268,8.646,4.689,8.385
cdfg_2/cdfg_142,0,2.629,7.978,3.03,4.17
cdfg_2/cdfg_144,39,6.228,14.389,6.097,10.785
cdfg_2/cdfg_146,2,4.353,8.676,6.205,7.465
cdfg_2/cdfg_148,27,8.667,9.292,12.077,15.295
cdfg_2/cdfg_149,19,6.178,8.628,9.189,11.465
cdfg_2/cdfg_150,7,7.863,8.255,11.768,13.54
cdfg_2/cdfg_151,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_152,2,1.588,8.385,2.135,3.12
cdfg_2/cdfg_153,0,14.989,9.421,19.795,25.415
cdfg_2/cdfg_154,11,0.951,7.792,0.998,1.775
cdfg_2/cdfg_155,9,1.632,8.941,1.629,3.305
cdfg_2/cdfg_157,3,4.302,8.438,7.129,7.47
cdfg_2/cdfg_158,0,0.043,0.0,0.0,0.065
cdfg_2/cdfg_159,14,6.687,7.578,6.436,10.12
cdfg_2/cdfg_160,39,7.065,8.699,7.975,12.52
cdfg_2/cdfg_161,0,0.465,7.261,1.013,1.345
cdfg_2/cdfg_162,8,3.182,8.749,3.281,5.935
cdfg_2/cdfg_164,10,1.116,8.709,1.527,2.365
cdfg_2/cdfg_165,11,7.333,9.151,11.101,13.26
cdfg_2/cdfg_167,6,0.938,7.021,1.032,1.765
cdfg_2/cdfg_168,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_169,0,0.784,6.141,0.602,1.405
cdfg_2/cdfg_170,3,0.168,6.453,0.257,0.38
cdfg_2/cdfg_171,24,5.08,8.952,5.109,9.56
cdfg_2/cdfg_172,3,1.668,7.336,1.834,3.26
cdfg_2/cdfg_173,9,8.481,8.495,11.491,14.79
cdfg_2/cdfg_174,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_177,41,9.208,8.671,12.588,18.16
cdfg_2/cdfg_180,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_181,0,0.226,5.558,0.349,0.555
cdfg_2/cdfg_182,38,7.374,9.242,10.596,13.61
cdfg_2/cdfg_183,11,2.015,8.961,2.709,4.5
cdfg_2/cdfg_184,16,0.894,8.787,1.269,2.19
cdfg_2/cdfg_185,7,0.777,6.837,1.37,2.05
cdfg_2/cdfg_186,18,8.261,9.344,11.227,14.38
cdfg_2/cdfg_187,0,0.62,6.89,0.609,1.17
cdfg_2/cdfg_188,16,7.848,8.297,7.128,12.225
cdfg_2/cdfg_189,7,2.308,7.988,2.689,4.73
cdfg_2/cdfg_190,2,0.76,8.486,0.918,1.49
cdfg_2/cdfg_191,25,7.221,8.743,8.582,11.945
cdfg_2/cdfg_192,17,8.014,8.85,12.424,14.555
cdfg_2/cdfg_193,5,3.812,8.487,4.702,7.125
cdfg_2/cdfg_194,22,2.344,8.159,2.174,4.545
cdfg_2/cdfg_195,4,0.078,5.792,0.341,0.465
cdfg_2/cdfg_196,21,6.388,8.433,9.939,11.64
cdfg_2/cdfg_197,21,7.759,10.018,11.458,13.56
cdfg_2/cdfg_198,0,0.002,1.633,0.002,0.005
cdfg_2/cdfg_199,15,2.091,8.426,2.368,4.06
cdfg_3/cdfg_0,26,5.492,8.737,8.304,10.43
cdfg_3/cdfg_1,18,3.15,8.252,3.399,5.95
cdfg_3/cdfg_2,16,11.644,8.495,13.316,18.545
cdfg_3/cdfg_3,21,7.27,7.765,9.546,13.095
cdfg_3/cdfg_4,2,7.164,8.53,9.04,12.51
cdfg_3/cdfg_5,9,2.137,8.813,2.353,4.4
cdfg_3/cdfg_6,16,17.116,9.462,21.563,27.635
cdfg_3/cdfg_7,6,1.415,8.739,1.624,2.6
cdfg_3/cdfg_8,11,5.25,8.294,4.84,9.34
cdfg_3/cdfg_9,6,4.699,8.669,5.886,7.885
cdfg_3/cdfg_10,0,0.075,4.946,0.202,0.235
cdfg_3/cdfg_11,8,3.615,9.007,3.344,6.675
cdfg_3/cdfg_12,10,2.649,8.397,2.84,4.82
cdfg_3/cdfg_13,2,1.538,8.539,1.665,2.865
cdfg_3/cdfg_14,19,6.414,8.47,6.211,11.16
cdfg_3/cdfg_15,0,0.042,0.0,0.0,0.06
cdfg_3/cdfg_17,5,7.486,7.24,10.171,13.33
cdfg_3/cdfg_18,25,7.506,8.935,10.464,13.01
cdfg_3/cdfg_19,7,7.67,8.408,10.22,13.91
cdfg_3/cdfg_20,22,9.955,9.542,12.254,16.7
cdfg_3/cdfg_21,1,0.096,5.408,0.155,0.21
cdfg_3/cdfg_22,8,0.953,8.315,1.268,1.885
cdfg_3/cdfg_23,8,1.041,7.155,2.124,2.805
cdfg_3/cdfg_24,3,4.865,7.753,7.602,8.635
cdfg_3/cdfg_25,40,2.846,9.221,3.454,5.91
cdfg_3/cdfg_26,18,13.714,8.429,15.427,21.61
cdfg_3/cdfg_27,6,1.772,8.606,2.061,3.49
cdfg_3/cdfg_28,4,8.613,8.856,8.309,13.735
cdfg_3/cdfg_29,4,1.874,8.25,2.413,3.61
cdfg_3/cdfg_30,4,1.994,8.993,1.907,3.275
cdfg_3/cdfg_31,12,3.171,9.235,4.085,6.855
cdfg_3/cdfg_32,4,2.334,8.928,2.356,4.01
cdfg_3/cdfg_33,3,1.711,8.478,2.02,3.39
cdfg_3/cdfg_34,18,1.272,7.97,1.867,2.975
cdfg_3/cdfg_35,16,10.193,8.835,13.824,19.205
cdfg_3/cdfg_36,3,5.058,8.29,7.901,8.93
cdfg_3/cdfg_37,18,6.005,8.603,9.544,11.97
cdfg_3/cdfg_38,16,2.664,8.782,3.547,5.995
cdfg_3/cdfg_39,2,0.24,8.431,0.282,0.565
cdfg_3/cdfg_41,3,10.208,8.915,11.306,16.525
cdfg_3/cdfg_42,3,0.945,8.931,0.688,1.56
cdfg_3/cdfg_43,0,0.002,1.633,0.002,0.005
cdfg_3/cdfg_44,0,0.273,5.404,0.377,0.67
cdfg_3/cdfg_45,3,5.253,8.129,8.359,10.195
cdfg_3/cdfg_46,0,0.002,1.633,0.002,0.005
cdfg_3/cdfg_47,24,1.137,8.291,1.579,2.865
cdfg_3/cdfg_48,16,0.702,7.689,0.655,1.365
cdfg_3/cdfg_49,21,8.552,8.066,11.978,14.98
cdfg_3/cdfg_50,11,10.11,8.44,13.044,17.985
cdfg_3/cdfg_52,33,8.712,8.994,11.198,14.56
cdfg_3/cdfg_53,6,22.77,8.24,23.232,34.68
cdfg_3/cdfg_54,2,0.929,7.42,1.489,1.975
cdfg_3/cdfg_55,22,5.215,8.629,8.247,9.475
cdfg_3/cdfg_56,2,0.68,8.267,0.571,1.19
cdfg_3/cdfg_57,0,0.015,0.0,0.0,0.025
cdfg_3/cdfg_58,3,3.001,8.069,3.153,5.535
cdfg_3/cdfg_59,16,0.767,8.702,1.292,1.935
cdfg_3/cdfg_60,0,0.002,1.181,0.001,0.005
cdfg_3/cdfg_61,7,4.611,8.366,7.823,8.21
cdfg_3/cdfg_62,0,0.686,6.251,0.661,1.21
cdfg_3/cdfg_63,5,5.151,8.152,8.229,9.645
cdfg_3/cdfg_64,22,4.911,7.966,8.344,9.36
cdfg_3/cdfg_65,1,1.042,7.973,1.279,2.26
cdfg_3/cdfg_66,22,2.502,8.816,2.635,4.67
cdfg_3/cdfg_68,17,6.209,8.804,10.011,12.635
cdfg_3/cdfg_69,14,8.453,8.723,10.608,14.41
cdfg_3/cdfg_70,2,1.321,8.505,1.597,2.375
cdfg_3/cdfg_71,3,14.227,9.123,16.42,21.775
cdfg_3/cdfg_72,39,2.491,8.416,2.729,4.34
cdfg_3/cdfg_73,3,5.645,8.524,8.599,10.58
cdfg_3/cdfg_74,6,1.622,8.321,1.869,2.92
cdfg_3/cdfg_75,0,0.055,4.733,0.117,0.15
cdfg_3/cdfg_76,19,11.443,8.819,15.814,18.865
cdfg_3/cdfg_77,11,2.324,8.532,2.464,4.425
cdfg_3/cdfg_78,7,5.098,8.648,9.633,10.66
cdfg_3/cdfg_79,3,0.382,7.259,0.53,0.795
cdfg_3/cdfg_80,19,6.899,8.503,10.443,12.525
cdfg_3/cdfg_81,20,2.112,7.975,2.128,4.18
cdfg_3/cdfg_83,6,1.059,8.392,1.453,2.3
cdfg_3/cdfg_84,20,3.307,9.223,4.557,7.145
